scenario,product,category,customer_type,user_activity,time_of_day,day_type,season,weather,discount,urgency,tone,emoji,notification
Premium Collection,Guava Chili Sorbet,Ice Cream,Loyal,Idle,Night,Weekend,Summer,Sunny,Free Delivery,Medium,Premium,🌶️,Discover the spicy elegance of our new Guava Chili Sorbet collection which is a premium summer treat today
Chef Special,Tiramisu Jar,Dessert,Inactive,Browsing,Afternoon,Weekday,Spring,Clear,20%,Low,Luxury,☕,The chef recommends our new Tiramisu Jar for a truly authentic and decadent Italian dessert experience tonight now
Restocked Product,Nutella Stuffed Croissant,Dessert,Returning,Past Purchase,Evening,Weekend,Winter,Cold,0%,High,Urgent,🥐,The Nutella Stuffed Croissant is back and better than ever so order yours before they are all gone
Fresh Arrival,Oreo Sundae,Sundae,First Order,App Open,Morning,Weekday,Summer,Hot,25%,Medium,Exciting,🍨,Our fresh arrival Oreo Sundae is here to give you the ultimate cookie and cream fix today now
New Combo,Gulab Jamun Cheesecake,Dessert,New,Browsing,Afternoon,Weekend,Spring,Clear,30%,Medium,Playful,🍰,Discover our new Gulab Jamun Cheesecake combo and enjoy a delicious fusion of two classic dessert worlds today
Festival Dessert,Petrichor Pistachio,Ice Cream,Loyal,Idle,Evening,Weekday,Monsoon,Rainy,Buy1Get1,Low,Warm,🌧️,Celebrate the festivities with our Petrichor Pistachio which captures the unique essence of the rainy season so perfectly
Exclusive Launch,Mango Chili Sorbet,Ice Cream,Premium,App Open,Night,Weekend,Summer,Sunny,0%,High,Luxury,🥭,Experience the exclusive launch of our Mango Chili Sorbet and enjoy a bold new way to eat fruit
New Flavor,Rose Thandai Kulfi,Ice Cream,Returning,Browsing,Afternoon,Weekday,Summer,Hot,15%,Medium,Friendly,🌹,Discover our new Rose Thandai Kulfi flavor and refresh your day with a sweet floral escape right now
Seasonal Flavor,Black Forest Pastry,Dessert,New,App Open,Evening,Weekend,Winter,Cold,0%,Low,Exciting,🍰,Our seasonal Black Forest Pastry is finally here to add a touch of classic sweetness to your evening
Limited Edition,Hazelnut Praline,Ice Cream,Premium,Past Purchase,Morning,Weekday,Spring,Clear,10%,High,Urgent,🌰,Hurry and grab our limited edition Hazelnut Praline before it disappears from our exclusive dessert menu tonight now
Premium Collection,Tiramisu Twist,Ice Cream,Loyal,Idle,Night,Weekend,Summer,Sunny,Free Delivery,Medium,Premium,☕,Step into luxury with our new Tiramisu Twist collection which offers the finest coffee flavors in every scoop
Chef Special,Red Velvet Cheesecake Bites,Dessert,Inactive,Browsing,Afternoon,Weekday,Winter,Cold,20%,Low,Luxury,🍰,The chef invites you to try the new Red Velvet Cheesecake Bites for a decadent and creamy treat
Restocked Product,Mango Cheesecake Jar,Dessert,Returning,Past Purchase,Evening,Weekend,Summer,Hot,0%,High,Urgent,🥭,The Mango Cheesecake Jar is back by popular demand so order now and enjoy the taste of summer
Fresh Arrival,Chocolate Shake,Shake,First Order,App Open,Morning,Weekday,Spring,Clear,25%,Medium,Exciting,🥤,Our fresh arrival Chocolate Shake is the richest way to start your day so come and get one
New Combo,Saffron Pistachio Kulfi Bar,Ice Cream,New,Browsing,Afternoon,Weekend,Summer,Hot,30%,Medium,Playful,🍦,Try our new Saffron Pistachio Kulfi Bar combo and share a royal dessert experience with your favorite person
Festival Dessert,Caramel Pecan Tart,Dessert,Loyal,Idle,Evening,Weekday,Winter,Cold,Buy1Get1,Low,Warm,🥧,Make your festival sweeter with our Caramel Pecan Tart which is a crunchy and delicious holiday treat tonight
Exclusive Launch,Banana Caramel Swirl,Ice Cream,Premium,App Open,Night,Weekend,Spring,Clear,0%,High,Luxury,🍌,Presenting the exclusive launch of our Banana Caramel Swirl which is the sweetest addition to our premium menu
New Flavor,Coconut Almond Delight,Ice Cream,Returning,Browsing,Afternoon,Weekday,Summer,Hot,15%,Medium,Friendly,🥥,Go on a tropical journey with our new Coconut Almond Delight flavor which is now ready for order
Seasonal Flavor,Tricolor Kulfi Bar,Ice Cream,New,App Open,Evening,Weekend,Spring,Clear,0%,Low,Exciting,🍦,Our seasonal Tricolor Kulfi Bar is the perfect way to welcome the new season with a sweet treat
Limited Edition,Choco Chip Cookie Sandwich,Dessert,Premium,Past Purchase,Morning,Weekday,Summer,Sunny,10%,High,Urgent,🍪,Only a few left of our limited edition Choco Chip Cookie Sandwich so grab yours before they vanish
Premium Collection,Pistachio Rose,Ice Cream,Loyal,Idle,Night,Weekend,Winter,Cold,Free Delivery,Medium,Premium,🌹,Indulge in the sophisticated flavors of our new Pistachio Rose collection which is a true dessert masterpiece tonight
Chef Special,Roasted Almond Fudge,Ice Cream,Inactive,Browsing,Afternoon,Weekday,Monsoon,Rainy,20%,Low,Luxury,🥜,The chef suggests trying our new Roasted Almond Fudge for a rich and crunchy experience during the rains
Restocked Product,Belgian Brownie Bites,Dessert,Returning,Past Purchase,Evening,Weekend,Summer,Hot,0%,High,Urgent,🍫,Belgian Brownie Bites are back in the kitchen so hurry and order your favorite chocolate snack right now
Fresh Arrival,Lychee Rose,Ice Cream,First Order,App Open,Morning,Weekday,Spring,Clear,25%,Medium,Exciting,🌹,Experience the fresh taste of our new Lychee Rose ice cream which has just arrived in our shop
New Combo,Mango Shake,Shake,New,Browsing,Afternoon,Weekend,Summer,Sunny,30%,Medium,Playful,🥭,Cool down this weekend with our new Mango Shake combo and enjoy a refreshing fruity discount today now
Festival Dessert,Sheer Khurma Kulfi,Ice Cream,Loyal,Idle,Evening,Weekday,Winter,Cold,Buy1Get1,Low,Warm,🍧,Enjoy the rich tradition of the festival with our Sheer Khurma Kulfi which is a creamy sweet delight
Exclusive Launch,Coffee Caramel Swirl,Ice Cream,Premium,App Open,Night,Weekend,Monsoon,Rainy,0%,High,Luxury,☕,Awaken your palate with the exclusive launch of our Coffee Caramel Swirl which is a bold new flavor
New Flavor,Strawberry Cheesecake,Dessert,Returning,Browsing,Afternoon,Weekday,Spring,Clear,15%,Medium,Friendly,🍓,Meet our new Strawberry Cheesecake flavor and discover why it is the most talked about dessert this week
Seasonal Flavor,Mango Tango,Ice Cream,New,App Open,Evening,Weekend,Summer,Hot,0%,Low,Exciting,🥭,The seasonal Mango Tango is finally here so come and enjoy the most vibrant fruit flavor of summer
Limited Edition,Choco Walnut Brownie,Dessert,Premium,Past Purchase,Morning,Weekday,Winter,Cold,10%,High,Urgent,🍫,Last chance for our limited edition Choco Walnut Brownie so act fast and grab yours before they sell
Premium Collection,Vanilla Bean,Ice Cream,Loyal,Idle,Night,Weekend,Summer,Sunny,Free Delivery,Medium,Premium,🍦,Discover the pure elegance of our new Vanilla Bean collection which is the highlight of our artisanal menu
Chef Special,Black Currant Bliss,Ice Cream,Inactive,Browsing,Afternoon,Weekday,Monsoon,Rainy,20%,Low,Luxury,🍇,The chef invites you to try the Black Currant Bliss for a unique and tangy dessert experience tonight
Restocked Product,Hot Fudge Sundae,Sundae,Returning,Past Purchase,Evening,Weekend,Spring,Clear,0%,High,Urgent,🍨,Our legendary Hot Fudge Sundae is back so treat yourself to a scoop of pure chocolate heaven tonight
Fresh Arrival,Cookie Dough Delight,Ice Cream,First Order,App Open,Morning,Weekday,Summer,Hot,25%,Medium,Exciting,🍪,The fresh arrival of Cookie Dough Delight is here to satisfy your sweet tooth in the most fun
New Combo,Falooda,Dessert,New,Browsing,Afternoon,Weekend,Winter,Cold,30%,Medium,Playful,🍧,Try our new Falooda combo today and experience the perfect mix of textures and sweet floral flavors now
Festival Dessert,Paan Surprise,Ice Cream,Loyal,Idle,Evening,Weekday,Spring,Clear,Buy1Get1,Low,Warm,🍃,End your festive celebrations on a high note with our Paan Surprise which is a refreshing family favorite
Exclusive Launch,Premium Tiramisu Jar,Dessert,Premium,App Open,Night,Weekend,Summer,Sunny,0%,High,Luxury,🫙,Presenting the exclusive launch of our Premium Tiramisu Jar which is the most indulgent coffee dessert we offer
New Flavor,Coffee Crunch,Ice Cream,Returning,Browsing,Afternoon,Weekday,Winter,Cold,15%,Medium,Friendly,☕,Wake up to the bold taste of our new Coffee Crunch flavor which is now ready for order
Seasonal Flavor,Mint Chocolate,Ice Cream,New,App Open,Evening,Weekend,Monsoon,Rainy,0%,Low,Exciting,🌿,Our seasonal Mint Chocolate is the perfect way to stay cool and refreshed during these rainy monsoon nights
Limited Edition,Chocolate Pastry,Dessert,Premium,Past Purchase,Morning,Weekday,Spring,Clear,10%,High,Urgent,🍰,Do not miss your chance for our limited edition Chocolate Pastry which is available only until the end
Premium Collection,Kulfi,Ice Cream,Loyal,Idle,Night,Weekend,Summer,Hot,Free Delivery,Medium,Premium,🍦,Experience the royal taste of our new Kulfi collection which brings authentic tradition to your modern dessert table
Chef Special,Red Velvet,Ice Cream,Inactive,Browsing,Afternoon,Weekday,Winter,Cold,20%,Low,Luxury,🍰,The chef recommends the new Red Velvet ice cream for a smooth and sophisticated treat that you deserve
Restocked Product,Belgian Choco Fudge,Ice Cream,Returning,Past Purchase,Evening,Weekend,Summer,Sunny,0%,High,Urgent,🍫,Your favorite Belgian Choco Fudge has been restocked so hurry and order yours before it is gone again
Fresh Arrival,Oreo Overload,Ice Cream,First Order,App Open,Morning,Weekday,Spring,Clear,25%,Medium,Exciting,🍪,Our fresh arrival Oreo Overload is the ultimate cookie lover dream so come and discover it today now
New Combo,Kesar Pista,Ice Cream,New,Browsing,Afternoon,Weekend,Summer,Hot,30%,Medium,Playful,🍨,Discover our new Kesar Pista combo and enjoy a traditional favorite with a delicious and sweet modern twist
Festival Dessert,10der Coconut,Ice Cream,Loyal,Idle,Evening,Weekday,Monsoon,Rainy,Buy1Get1,Low,Warm,🥥,Celebrate the festival with our 10der Coconut dessert which is as light and fresh as a summer breeze
Exclusive Launch,Nutella Croissant,Dessert,Premium,App Open,Night,Weekend,Winter,Cold,0%,High,Luxury,🥐,Experience the exclusive launch of our Nutella Croissant and enjoy a warm and chocolatey treat this cold evening
New Flavor,Mango Sorbet,Ice Cream,Returning,Browsing,Afternoon,Weekday,Summer,Sunny,15%,Medium,Exciting,🥭,Refresh your afternoon with our new Mango Sorbet which is made from the most delicious sun ripened fruits
Seasonal Flavor,Rocky Road,Ice Cream,New,App Open,Evening,Weekend,Winter,Cold,0%,Low,Friendly,🍫,Our seasonal Rocky Road is back to make your winter evenings much more cozy and delicious today now
Limited Edition,Sorbet Cup,Ice Cream,Premium,Past Purchase,Morning,Weekday,Spring,Clear,10%,High,Urgent,🍧,Grab our limited edition Sorbet Cup before it is too late because these fruity treats are selling fast
Premium Collection,Premium Tiramisu Twist,Ice Cream,Loyal,Idle,Night,Weekend,Summer,Hot,Free Delivery,Medium,Premium,🍰,Indulge in the finest flavors of our new Premium Tiramisu Twist collection which is a true culinary delight
Chef Special,Black Currant,Ice Cream,Inactive,Browsing,Afternoon,Weekday,Monsoon,Rainy,20%,Low,Luxury,🍇,Our chef has handpicked the Black Currant for its vibrant and tangy flavor that is perfect for today
Restocked Product,Mini Brownie Bites,Dessert,Returning,Past Purchase,Evening,Weekend,Winter,Cold,0%,High,Urgent,🍫,Mini Brownie Bites are back and ready for you to snack on so order a box right now
Fresh Arrival,Salted Caramel Brownie,Dessert,First Order,App Open,Morning,Weekday,Spring,Clear,25%,Medium,Exciting,🍮,The fresh arrival of Salted Caramel Brownie is here for you to discover its perfect sweet salty blend
New Combo,Strawberry,Ice Cream,New,Browsing,Afternoon,Weekend,Summer,Sunny,30%,Medium,Playful,🍓,Try our new Strawberry combo today and enjoy double the fruitiness with a special limited time weekend deal
Festival Dessert,Gingerbread Kulfi Bar,Ice Cream,Loyal,Idle,Evening,Weekday,Winter,Cold,Buy1Get1,Low,Warm,🍦,Bring home the taste of the holidays with our Gingerbread Kulfi Bar which is a sweet festive treat
Exclusive Launch,Blue Velvet Cloud,Ice Cream,Premium,App Open,Night,Weekend,Spring,Clear,0%,High,Luxury,☁️,Be the first to experience the exclusive launch of our Blue Velvet Cloud and taste the magic today
New Flavor,Watermelon Sorbet,Ice Cream,Returning,Browsing,Afternoon,Weekday,Summer,Hot,15%,Medium,Exciting,🍉,Say hello to our new Watermelon Sorbet and enjoy the most refreshing fruity treat of the summer season
Seasonal Flavor,Rose Pistachio Brownie,Dessert,New,App Open,Evening,Weekend,Spring,Clear,0%,Low,Friendly,🌹,Our seasonal Rose Pistachio Brownie is back in stock so come and enjoy its delicate and floral notes
Limited Edition,Dark Chocolate Truffle,Ice Cream,Premium,Past Purchase,Morning,Weekday,Winter,Cold,10%,High,Urgent,🍫,This limited edition Dark Chocolate Truffle is a chocolate lover dream so grab yours before it is gone
Premium Collection,Guava Chili Sorbet,Ice Cream,Loyal,Idle,Night,Weekend,Summer,Sunny,Free Delivery,Medium,Premium,🌶️,Discover the premium taste of our new Guava Chili Sorbet collection which is a spicy and sweet delight
Chef Special,Tiramisu Jar,Dessert,Inactive,Browsing,Afternoon,Weekday,Spring,Clear,20%,Low,Luxury,☕,The chef recommends our new Tiramisu Jar for a rich and authentic taste of Italy in every bite
Restocked Product,Nutella Stuffed Croissant,Dessert,Returning,Past Purchase,Evening,Weekend,Winter,Cold,0%,High,Urgent,🥐,The wait is over because our Nutella Stuffed Croissant is back and ready for your morning breakfast order
Fresh Arrival,Oreo Sundae,Sundae,First Order,App Open,Morning,Weekday,Summer,Hot,25%,Medium,Exciting,🍨,A fresh arrival of Oreo Sundae is waiting for you to enjoy the ultimate cookie crunch dessert tonight
New Combo,Gulab Jamun Cheesecake,Dessert,New,Browsing,Afternoon,Weekend,Spring,Clear,30%,Medium,Playful,🍰,Check out our new Gulab Jamun Cheesecake combo and experience the perfect fusion of classic and modern desserts
Festival Dessert,Petrichor Pistachio,Ice Cream,Loyal,Idle,Evening,Weekday,Monsoon,Rainy,Buy1Get1,Low,Warm,🌧️,Celebrate the season with our Petrichor Pistachio which is the most unique and festive flavor we have made
Exclusive Launch,Mango Chili Sorbet,Ice Cream,Premium,App Open,Night,Weekend,Summer,Sunny,0%,High,Luxury,🥭,Discover the exclusive launch of our Mango Chili Sorbet and enjoy a tropical treat with a spicy twist
New Flavor,Rose Thandai Kulfi,Ice Cream,Returning,Browsing,Afternoon,Weekday,Summer,Hot,15%,Medium,Friendly,🌹,Refresh your palate with our new Rose Thandai Kulfi flavor which is a cool and floral summer escape
Seasonal Flavor,Black Forest Pastry,Dessert,New,App Open,Evening,Weekend,Winter,Cold,0%,Low,Exciting,🍰,Our seasonal Black Forest Pastry has arrived so treat yourself to a slice of chocolatey heaven this evening
Limited Edition,Hazelnut Praline,Ice Cream,Premium,Past Purchase,Morning,Weekday,Spring,Clear,10%,High,Urgent,🌰,Grab our limited edition Hazelnut Praline before it leaves our menu forever because it is truly a favorite
Premium Collection,Tiramisu Twist,Ice Cream,Loyal,Idle,Night,Weekend,Summer,Sunny,Free Delivery,Medium,Premium,☕,Step into luxury with our new Tiramisu Twist collection and enjoy the finest coffee flavors in town today
Chef Special,Red Velvet Cheesecake Bites,Dessert,Inactive,Browsing,Afternoon,Weekday,Winter,Cold,20%,Low,Luxury,🍰,The chef invites you to try our new Red Velvet Cheesecake Bites for a decadent and creamy treat
Restocked Product,Mango Cheesecake Jar,Dessert,Returning,Past Purchase,Evening,Weekend,Summer,Hot,0%,High,Urgent,🥭,The Mango Cheesecake Jar is back in stock so hurry and grab one before they are all gone
Fresh Arrival,Chocolate Shake,Shake,First Order,App Open,Morning,Weekday,Spring,Clear,25%,Medium,Exciting,🥤,Our fresh arrival Chocolate Shake is the perfect way to start your day with a rich cocoa boost
New Combo,Saffron Pistachio Kulfi Bar,Ice Cream,New,Browsing,Afternoon,Weekend,Summer,Hot,30%,Medium,Playful,🍦,Try our new Saffron Pistachio Kulfi Bar combo and discover a royal and delicious way to share dessert
Festival Dessert,Caramel Pecan Tart,Dessert,Loyal,Idle,Evening,Weekday,Winter,Cold,Buy1Get1,Low,Warm,🥧,Add a sweet touch to your celebrations with our Caramel Pecan Tart which is a nutty festive delight
Exclusive Launch,Banana Caramel Swirl,Ice Cream,Premium,App Open,Night,Weekend,Spring,Clear,0%,High,Luxury,🍌,Experience the exclusive launch of our Banana Caramel Swirl which is a sweet and creamy premium dessert choice
